"Credit / Debit Card Number","Creditcard- / Debetkaartnummer"
"Credit / Debit Card","Creditcard / Debetkaart"
"Card Verification Number","Kaartverificatienummer"
"What is this","Wat is dit"
"Place Order","Bestelling plaatsen"
"Do you want to refund this order?","Wilt u deze bestelling terugbetalen?"
"Refund","Terugbetalen"
"Payment was not provided by Fiserv","Betaling werd niet verstrekt door Fiserv"
"Refund has failed. Contact support with trace ID: %s and client ID %s.","Terugbetaling is mislukt. Neem contact op met ondersteuning met trace ID: %s en client ID %s."
"Transaction of ID %s has been refunded with amount %s","Transactie met ID %s is terugbetaald met bedrag %s"
"Invoice is invalid","Factuur is ongeldig"
"Order refunded","Bestelling terugbetaald"
"Sorry something went wrong. Try another payment method.","Sorry, er is iets misgegaan. Probeer een andere betaalmethode."
"Maximum retry exceeded exception","Maximum aantal pogingen overschreden"
"Fiserv checkout link %s created with checkout ID %s and trace ID %s.","Fiserv checkout link %s gemaakt met checkout ID %s en trace ID %s."
"Invoice cannot be created for this order","Factuur kan niet worden aangemaakt voor deze bestelling"
"Order has invalid state","Bestelling heeft een ongeldige status"
"Order ID could not be found","Bestel-ID kon niet worden gevonden"
"Authorization failed. Could not validate request.","Autorisatie mislukt. Kon verzoek niet valideren."
"Your Fiserv API Credentials are invalid. Please reconfigure them.","Uw Fiserv API-gegevens zijn ongeldig. Gelieve ze opnieuw te configureren."
"Webhook event is invalid","Webhook-gebeurtenis is ongeldig"
"You will be redirected to an external checkout page.","U wordt doorgestuurd naar een externe afrekenpagina."
"Sorry, Fiserv Checkout is currently not available.","Sorry, Fiserv Checkout is momenteel niet beschikbaar."
"Pay securely with Fiserv Checkout. Acquire API credentials on our developer portal.","Betaal veilig met Fiserv Checkout. Verkrijg API-gegevens op ons ontwikkelaarsportaal."
"Visit Fiserv developer guide","Bezoek de Fiserv ontwikkelaarsgids"
"Not available","Niet beschikbaar"
"Generic Checkout","Algemene kassa"
"Branding","Branding"
"Enable Plugin","Plugin inschakelen"
"Production Mode","Productiemodus"
"API Key","API-sleutel"
"API Health Check","API-statuscontrole"
"Enable Debug Logs","Debuglogboeken inschakelen"
"Enable Auto-Completion","Automatische aanvulling inschakelen"
"If disabled (no), sandbox (staging) environment will be used","Indien uitgeschakeld (nee), wordt de sandbox (staging)-omgeving gebruikt"
"Custom Icon","Aangepast pictogram"
"When activated the debug file will be located in: var/log/fiserv-checkout.log","Wanneer geactiveerd, bevindt het debugbestand zich in: var/log/fiserv-checkout.log"
"If enabled orders will be flagged as completed after payment","Indien ingeschakeld, worden bestellingen na betaling als voltooid gemarkeerd"
"Add an image URL for a custom payment method icon","Voeg een afbeeldings-URL toe voor een aangepast betaalmethodepictogram"
"Enabled","Ingeschakeld"
"Custom Method Name","Aangepaste methodenaam"
"Fiserv Checkout General Settings","Fiserv Checkout Algemene instellingen"
"You're all set!","Helemaal klaar!"
"Check API Status","API-status controleren"
"Untested","Niet getest"
"You will be redirected to an external checkout page where you will be able to select a payment method.","U wordt doorgestuurd naar een externe afrekenpagina waar u een betaalmethode kunt kiezen."
