"Credit / Debit Card Number","Número de tarjeta de crédito / débito"
"Credit / Debit Card","Tarjeta de crédito / débito"
"Card Verification Number","Número de verificación de la tarjeta"
"What is this","¿Qué es esto?"
"Place Order","Realizar pedido"
"Do you want to refund this order?","¿Desea reembolsar este pedido?"
"Refund","Reembolsar"
"Payment was not provided by Fiserv","El pago no fue proporcionado por Fiserv"
"Refund has failed. Contact support with trace ID: %s and client ID %s.","El reembolso ha fallado. Contacte al soporte con el ID de seguimiento: %s y el ID de cliente %s."
"Transaction of ID %s has been refunded with amount %s","La transacción con ID %s ha sido reembolsada con el monto %s"
"Invoice is invalid","La factura es inválida"
"Order refunded","Pedido reembolsado"
"Sorry something went wrong. Try another payment method.","Lo siento, algo salió mal. Intente con otro método de pago."
"Maximum retry exceeded exception","Excepción de número máximo de reintentos excedido"
"Fiserv checkout link %s created with checkout ID %s and trace ID %s.","Enlace de pago de Fiserv %s creado con el ID de pago %s y el ID de seguimiento %s."
"Invoice cannot be created for this order","No se puede crear la factura para este pedido"
"Order has invalid state","El pedido tiene un estado inválido"
"Order ID could not be found","No se pudo encontrar el ID del pedido"
"Authorization failed. Could not validate request.","La autorización falló. No se pudo validar la solicitud."
"Your Fiserv API Credentials are invalid. Please reconfigure them.","Sus credenciales API de Fiserv son inválidas. Por favor, reconfigúrelas."
"Webhook event is invalid","El evento Webhook es inválido"
"You will be redirected to an external checkout page.","Será redirigido a una página de pago externa."
"Sorry, Fiserv Checkout is currently not available.","Lo siento, Fiserv Checkout no está disponible actualmente."
"Pay securely with Fiserv Checkout. Acquire API credentials on our developer portal.","Pague de forma segura con Fiserv Checkout. Adquiera credenciales API en nuestro portal de desarrolladores."
"Visit Fiserv developer guide","Visite la guía del desarrollador de Fiserv"
"Not available","No disponible"
"Generic Checkout","Pago genérico"
"Branding","Marca"
"Enable Plugin","Habilitar complemento"
"Production Mode","Modo de producción"
"API Key","Clave API"
"API Health Check","Comprobación de estado de API"
"Enable Debug Logs","Habilitar registros de depuración"
"Enable Auto-Completion","Habilitar autocompletado"
"If disabled (no), sandbox (staging) environment will be used","Si está deshabilitado (no), se usará el entorno sandbox (staging)"
"Custom Icon","Ícono personalizado"
"When activated the debug file will be located in: var/log/fiserv-checkout.log","Cuando esté activado, el archivo de depuración se ubicará en: var/log/fiserv-checkout.log"
"If enabled orders will be flagged as completed after payment","Si está habilitado, los pedidos se marcarán como completados después del pago"
"Add an image URL for a custom payment method icon","Agregue una URL de imagen para un ícono de método de pago personalizado"
"Enabled","Habilitado"
"Custom Method Name","Nombre de método personalizado"
"Fiserv Checkout General Settings","Configuración general de Fiserv Checkout"
"You're all set!","¡Todo listo!"
"Check API Status","Comprobar el estado de la API"
"Untested","No probado"
"You will be redirected to an external checkout page where you will be able to select a payment method.","Será redirigido a una página de pago externa donde podrá seleccionar un método de pago."
