"Credit Card Number","Credit Card Number"
"Credit card","Credit card"
"Card Verification Number","Card Verification Number"
"What is this","What is this"
"Place Order","Place Order"
"Do you want to refund this order?","Do you want to refund this order?"
"Refund","Refund"
"Payment was not provided by Fiserv","Payment was not provided by Fiserv"
"Refund has failed. Contact support with trace ID: %s and client ID %s.","Refund has failed. Contact support with trace ID: %s and client ID %s."
"Transaction of ID %s has been refunded with amount %s","Transaction of ID %s has been refunded with amount %s"
"Invoice is invalid","Invoice is invalid"
"Order refunded","Order refunded"
"Sorry something went wrong. Try another payment method.","Sorry something went wrong. Try another payment method."
"Maximum retry exceeded exception","Maximum retry exceeded exception"
"Fiserv checkout link %s created with checkout ID %s and trace ID %s.","Fiserv checkout link %s created with checkout ID %s and trace ID %s."
"Invoice cannot be created for this order","Invoice cannot be created for this order"
"Order has invalid state","Order has invalid state"
"Order ID could not be found","Order ID could not be found"
"Authorization failed. Could not validate request.","Authorization failed. Could not validate request."
"Your Fiserv API Credentials are invalid. Please reconfigure them.","Your Fiserv API Credentials are invalid. Please reconfigure them."
"Webhook event is invalid","Webhook event is invalid"
"Payment will be processed by Fiserv. You will be redirected to an external checkout page.","Payment will be processed by Fiserv. You will be redirected to an external checkout page."
"Sorry, Fiserv Checkout is currently not available.","Sorry, Fiserv Checkout is currently not available."
"Pay securely with Fiserv Checkout. Acquire API credentials on our developer portal.","Pay securely with Fiserv Checkout. Acquire API credentials on our developer portal."
"Visit developer.fiserv.com","Visit developer.fiserv.com"
